Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Email,Address 1,Address 2,Postcode
Douglas,Chapman,Douglas Chapman,"Chapman, Douglas",Scottish National Party,Dunfermline and West Fife,douglas.chapman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Liz,Saville Roberts,Liz Saville Roberts,"Saville Roberts, Liz",Plaid Cymru,Dwyfor Meirionnydd,liz.savilleroberts.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rupa,Huq,Dr Rupa Huq,"Huq, Dr Rupa",Independent,Ealing Central and Acton,rupa.huq.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Murray,James Murray,"Murray, James",Labour,Ealing North,james.murray.mp@parliament.uk,House of Commons,London,SW1A 0AA
Virendra,Sharma,Mr Virendra Sharma,"Sharma, Mr Virendra",Labour,"Ealing, Southall",sharmav@parliament.uk,House of Commons,London,SW1A 0AA
Grahame,Morris,Grahame Morris,"Morris, Grahame",Labour,Easington,grahame.morris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Samuel,Wilson,Sammy Wilson,"Wilson, Sammy",Democratic Unionist Party,East Antrim,barronj@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Jupp,Simon Jupp,"Jupp, Simon",Conservative,East Devon,simon.jupp.mp@parliament.uk,House of Commons,London,SW1A 0AA
Amy,Callaghan,Amy Callaghan,"Callaghan, Amy",Scottish National Party,East Dunbartonshire,amy.callaghan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Timms,Sir Stephen Timms,"Timms, Sir Stephen",Labour,East Ham,timmss@parliament.uk,House of Commons,London,SW1A 0AA
Damian,Hinds,Damian Hinds,"Hinds, Damian",Conservative,East Hampshire,damian.hinds.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lisa,Cameron,Dr Lisa Cameron,"Cameron, Dr Lisa",Scottish National Party,"East Kilbride, Strathaven and Lesmahagow",lisa.cameron.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gregory,Campbell,Mr Gregory Campbell,"Campbell, Mr Gregory",Democratic Unionist Party,East Londonderry,aaron.callan@parliament.uk,House of Commons,London,SW1A 0AA
Kenny,MacAskill,Kenny MacAskill,"MacAskill, Kenny",Alba Party,East Lothian,kenny.macaskill.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kirsten,Oswald,Kirsten Oswald,"Oswald, Kirsten",Scottish National Party,East Renfrewshire,kirsten.oswald.mp@parliament.uk,House of Commons,London,SW1A 0AA
Claire,Coutinho,Claire Coutinho,"Coutinho, Claire",Conservative,East Surrey,claire.coutinho.mp@parliament.uk,House of Commons,London,SW1A 0AA
Timothy,Loughton,Tim Loughton,"Loughton, Tim",Conservative,East Worthing and Shoreham,loughtont@parliament.uk,House of Commons,London,SW1A 0AA
Gregory,Knight,Sir Greg Knight,"Knight, Sir Greg",Conservative,East Yorkshire,sothcottt@parliament.uk,House of Commons,London,SW1A 0AA
Caroline,Ansell,Caroline Ansell,"Ansell, Caroline",Conservative,Eastbourne,caroline.ansell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Holmes,Paul Holmes,"Holmes, Paul",Conservative,Eastleigh,paul.holmes.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anthony,Timpson,Edward Timpson,"Timpson, Edward",Conservative,Eddisbury,edward.timpson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thomas,Sheppard,Tommy Sheppard,"Sheppard, Tommy",Scottish National Party,Edinburgh East,tommy.sheppard.mp@parliament.uk,House of Commons,London,SW1A 0AA
Deidre,Brock,Deidre Brock,"Brock, Deidre",Scottish National Party,Edinburgh North and Leith,deidre.brock.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Murray,Ian Murray,"Murray, Ian",Labour,Edinburgh South,ian.murray.mp@parliament.uk,House of Commons,London,SW1A 0AA
Joanna,Cherry,Joanna Cherry,"Cherry, Joanna",Scottish National Party,Edinburgh South West,joanna.cherry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christine,Jardine,Christine Jardine,"Jardine, Christine",Liberal Democrat,Edinburgh West,christine.jardine.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kate,Osamor,Kate Osamor,"Osamor, Kate",Labour,Edmonton,kate.osamor.mp@parliament.uk,House of Commons,London,SW1A 0AA
Justin,Madders,Justin Madders,"Madders, Justin",Labour,Ellesmere Port and Neston,justin.madders.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alec,Shelbrooke,Alec Shelbrooke,"Shelbrooke, Alec",Conservative,Elmet and Rothwell,alec.shelbrooke.mp@parliament.uk,House of Commons,London,SW1A 0AA
Clive,Efford,Clive Efford,"Efford, Clive",Labour,Eltham,effordc@parliament.uk,House of Commons,London,SW1A 0AA
Feryal,Clark,Feryal Clark,"Clark, Feryal",Labour,Enfield North,feryal.clark.mp@parliament.uk,House of Commons,London,SW1A 0AA
Charalambos,Charalambous,Bambos Charalambous,"Charalambous, Bambos",Labour,"Enfield, Southgate",bambos.charalambous.mp@parliament.uk,House of Commons,London,SW1A 0AA
Eleanor,Laing,Dame Eleanor Laing,"Laing, Dame Eleanor",Conservative,Epping Forest,eleanor.laing.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Grayling,Chris Grayling,"Grayling, Chris",Conservative,Epsom and Ewell,chris.grayling.mp@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Throup,Maggie Throup,"Throup, Maggie",Conservative,Erewash,maggie.throup.mp@parliament.uk,House of Commons,London,SW1A 0AA
Abena,Oppong-Asare,Abena Oppong-Asare,"Oppong-Asare, Abena",Labour,Erith and Thamesmead,abena.oppongasare.mp@parliament.uk,House of Commons,London,SW1A 0AA
Dominic,Raab,Dominic Raab,"Raab, Dominic",Conservative,Esher and Walton,dominic.raab.mp@parliament.uk,House of Commons,London,SW1A 0AA
Benjamin,Bradshaw,Mr Ben Bradshaw,"Bradshaw, Mr Ben",Labour,Exeter,bradshawb@parliament.uk,House of Commons,London,SW1A 0AA
John,McNally,John McNally,"McNally, John",Scottish National Party,Falkirk,john.mcnally.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sue-Ellen,Braverman,Suella Braverman,"Braverman, Suella",Conservative,Fareham,suella.braverman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Helen,Whately,Helen Whately,"Whately, Helen",Conservative,Faversham and Mid Kent,helen.whately.mp@parliament.uk,House of Commons,London,SW1A 0AA
Seema,Malhotra-Saluja,Seema Malhotra,"Malhotra, Seema",Labour,Feltham and Heston,seema.malhotra.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michelle,Gildernew,Michelle Gildernew,"Gildernew, Michelle",Sinn Féin,Fermanagh and South Tyrone,michelle.gildernew.mp@parliament.uk,House of Commons,London,SW1A 0AA
Giacomo,Lopresti,Jack Lopresti,"Lopresti, Jack",Conservative,Filton and Bradley Stoke,jack.lopresti.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Freer,Mike Freer,"Freer, Mike",Conservative,Finchley and Golders Green,mike.freer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Damian,Collins,Damian Collins,"Collins, Damian",Conservative,Folkestone and Hythe,damian.collins.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Harper,Mr Mark Harper,"Harper, Mr Mark",Conservative,Forest of Dean,mark.harper.mp@parliament.uk,House of Commons,London,SW1A 0AA
Colum,Eastwood,Colum Eastwood,"Eastwood, Colum",Social Democratic & Labour Party,Foyle,colum.eastwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Menzies,Mark Menzies,"Menzies, Mark",Conservative,Fylde,mark.menzies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Edward,Leigh,Sir Edward Leigh,"Leigh, Sir Edward",Conservative,Gainsborough,edward.leigh.mp@parliament.uk,House of Commons,London,SW1A 0AA
Maria,Eagle,Maria Eagle,"Eagle, Maria",Labour,Garston and Halewood,maria.eagle.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Mearns,Ian Mearns,"Mearns, Ian",Labour,Gateshead,ian.mearns.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thomas ,Randall,Tom Randall,"Randall, Tom",Conservative,Gedling,tom.randall.mp@parliament.uk,House of Commons,London,SW1A 0AA
Atta-Ur-Rehman,Chishti,Rehman Chishti,"Chishti, Rehman",Conservative,Gillingham and Rainham,rehman.chishti.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alison,Thewliss,Alison Thewliss,"Thewliss, Alison",Scottish National Party,Glasgow Central,alison.thewliss.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Linden,David Linden,"Linden, David",Scottish National Party,Glasgow East,david.linden.mp@parliament.uk,House of Commons,London,SW1A 0AA
Patrick,Grady,Patrick Grady,"Grady, Patrick",Independent,Glasgow North,patrick.grady.mp@parliament.uk,House of Commons,London,SW1A 0AA
Elizabeth Anne,McLaughlin,Anne McLaughlin,"McLaughlin, Anne",Scottish National Party,Glasgow North East,anne.mclaughlin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Carol,Monaghan,Carol Monaghan,"Monaghan, Carol",Scottish National Party,Glasgow North West,carol.monaghan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stewart,McDonald,Stewart Malcolm McDonald,"McDonald, Stewart Malcolm",Scottish National Party,Glasgow South,stewart.mcdonald.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Stephens,Chris Stephens,"Stephens, Chris",Scottish National Party,Glasgow South West,chris.stephens.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Grant,Peter Grant,"Grant, Peter",Scottish National Party,Glenrothes,peter.grant.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Graham,Richard Graham,"Graham, Richard",Conservative,Gloucester,richard.graham.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Thomson,Richard Thomson,"Thomson, Richard",Scottish National Party,Gordon,richard.thomson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Caroline,Dinenage,Dame Caroline Dinenage,"Dinenage, Dame Caroline",Conservative,Gosport,caroline.dinenage.mp@parliament.uk,House of Commons,London,SW1A 0AA
Antonia,Antoniazzi,Tonia Antoniazzi,"Antoniazzi, Tonia",Labour,Gower,tonia.antoniazzi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gareth,Davies,Gareth Davies,"Davies, Gareth",Conservative,Grantham and Stamford,gareth.davies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Adam,Holloway,Adam Holloway,"Holloway, Adam",Conservative,Gravesham,hollowaya@parliament.uk,House of Commons,London,SW1A 0AA
Lia,Nici-Townend,Lia Nici,"Nici, Lia",Conservative,Great Grimsby,lia.nici.mp@parliament.uk,House of Commons,London,SW1A 0AA
Brandon,Lewis,Brandon Lewis,"Lewis, Brandon",Conservative,Great Yarmouth,brandon.lewis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Pennycook,Matthew Pennycook,"Pennycook, Matthew",Labour,Greenwich and Woolwich,matthew.pennycook.mp@parliament.uk,House of Commons,London,SW1A 0AA
Angela,Richardson,Angela Richardson,"Richardson, Angela",Conservative,Guildford,angela.richardson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Diane,Abbott,Ms Diane Abbott,"Abbott, Ms Diane",Labour,Hackney North and Stoke Newington,diane.abbott.office@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Hillier,Dame Meg Hillier,"Hillier, Dame Meg",Labour,Hackney South and Shoreditch,meghilliermp@parliament.uk,House of Commons,London,SW1A 0AA
James,Morris,James Morris,"Morris, James",Conservative,Halesowen and Rowley Regis,james.morris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Holly,Walker-Lynch,Holly Lynch,"Lynch, Holly",Labour,Halifax,holly.lynch.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Davis,Mr David Davis,"Davis, Mr David",Conservative,Haltemprice and Howden,david.davis.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Twigg,Derek Twigg,"Twigg, Derek",Labour,Halton,derek.twigg.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Slaughter,Andy Slaughter,"Slaughter, Andy",Labour,Hammersmith,slaughtera@parliament.uk,House of Commons,London,SW1A 0AA
Tulip,Siddiq,Tulip Siddiq,"Siddiq, Tulip",Labour,Hampstead and Kilburn,tulip.siddiq.mp@parliament.uk,House of Commons,London,SW1A 0AA
Neil,O'Brien,Neil O'Brien,"O'Brien, Neil",Conservative,Harborough,neil.obrien.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Halfon,Robert Halfon,"Halfon, Robert",Conservative,Harlow,,House of Commons,London,SW1A 0AA
Andrew,Jones,Andrew Jones,"Jones, Andrew",Conservative,Harrogate and Knaresborough,andrew.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Blackman,Bob Blackman,"Blackman, Bob",Conservative,Harrow East,bob.blackman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gareth,Thomas,Gareth Thomas,"Thomas, Gareth",Labour,Harrow West,gareth.thomas.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jill,Mortimer,Jill Mortimer,"Mortimer, Jill",Conservative,Hartlepool,jill.mortimer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Bernard,Jenkin,Sir Bernard Jenkin,"Jenkin, Sir Bernard",Conservative,Harwich and North Essex,bernard.jenkin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sally-Ann,Hart,Sally-Ann Hart,"Hart, Sally-Ann",Conservative,Hastings and Rye,sallyann.hart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alan,Mak,Alan Mak,"Mak, Alan",Conservative,Havant,alan.mak.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,McDonnell,John McDonnell,"McDonnell, John",Labour,Hayes and Harlington,mcdonnellj@parliament.uk,House of Commons,London,SW1A 0AA
William,Wragg,Mr William Wragg,"Wragg, Mr William",Conservative,Hazel Grove,,House of Commons,London,SW1A 0AA
Michael,Penning,Sir Mike Penning,"Penning, Sir Mike",Conservative,Hemel Hempstead,mike.penning.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jon,Trickett,Jon Trickett,"Trickett, Jon",Labour,Hemsworth,trickettj@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Offord,Dr Matthew Offord,"Offord, Dr Matthew",Conservative,Hendon,matthew.offord.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Howell,John Howell,"Howell, John",Conservative,Henley,howelljm@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Norman,Jesse Norman,"Norman, Jesse",Conservative,Hereford and South Herefordshire,jesse.norman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julie,Marson,Julie Marson,"Marson, Julie",Conservative,Hertford and Stortford,julie.marson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Oliver,Dowden,Oliver Dowden,"Dowden, Oliver",Conservative,Hertsmere,oliver.dowden.mp@parliament.uk,House of Commons,London,SW1A 0AA
Guy,Opperman,Guy Opperman,"Opperman, Guy",Conservative,Hexham,guy.opperman@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Clarkson,Chris Clarkson,"Clarkson, Chris",Conservative,Heywood and Middleton,chris.clarkson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Largan,Robert Largan,"Largan, Robert",Conservative,High Peak,,House of Commons,London,SW1A 0AA
Abimbola,Afolami,Bim Afolami,"Afolami, Bim",Conservative,Hitchin and Harpenden,bim.afolami.mp@parliament.uk,House of Commons,London,SW1A 0AA
Keir,Starmer,Keir Starmer,"Starmer, Keir",Labour,Holborn and St Pancras,keir.starmer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julia,Lopez,Julia Lopez,"Lopez, Julia",Conservative,Hornchurch and Upminster,julia.lopez.mp@parliament.uk,House of Commons,London,SW1A 0AA
Catherine,West,Catherine West,"West, Catherine",Labour,Hornsey and Wood Green,catherine.west.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeremy,Quin,Jeremy Quin,"Quin, Jeremy",Conservative,Horsham,jeremy.quin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Bridget,Phillipson,Bridget Phillipson,"Phillipson, Bridget",Labour,Houghton and Sunderland South,bridget.phillipson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Kyle,Peter Kyle,"Kyle, Peter",Labour,Hove,peter.kyle.mp@parliament.uk,House of Commons,London,SW1A 0AA
Barry,Sheerman,Mr Barry Sheerman,"Sheerman, Mr Barry",Labour,Huddersfield,sheermanb@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Djanogly,Mr Jonathan Djanogly,"Djanogly, Mr Jonathan",Conservative,Huntingdon,jonathan.djanogly.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sara,Britcliffe,Sara Britcliffe,"Britcliffe, Sara",Conservative,Hyndburn,sara.britcliffe.mp@parliament.uk,House of Commons,London,SW1A 0AA
Wesley,Streeting,Wes Streeting,"Streeting, Wes",Labour,Ilford North,wes.streeting.mp@parliament.uk,House of Commons,London,SW1A 0AA
Samuel,Tarry,Sam Tarry,"Tarry, Sam",Labour,Ilford South,sam.tarry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ronald,Cowan,Ronnie Cowan,"Cowan, Ronnie",Scottish National Party,Inverclyde,ronnie.cowan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Hendry,Drew Hendry,"Hendry, Drew",Scottish National Party,"Inverness, Nairn, Badenoch and Strathspey",drew.hendry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thomas,Hunt,Tom Hunt,"Hunt, Tom",Conservative,Ipswich,tom.hunt.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Seely,Bob Seely,"Seely, Bob",Conservative,Isle of Wight,bob.seely.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeremy,Corbyn,Jeremy Corbyn,"Corbyn, Jeremy",Independent,Islington North,jeremy.corbyn.mp@parliament.uk,House of Commons,London,SW1A 0AA
Emily,Thornberry,Emily Thornberry,"Thornberry, Emily",Labour,Islington South and Finsbury,thornberrye@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Evans,Chris Evans,"Evans, Chris",Labour,Islwyn,chris.evans.mp@parliament.uk,House of Commons,London,SW1A 0AA
Katharine,Brooks-Osborne,Kate Osborne,"Osborne, Kate",Labour,Jarrow,kate.osborne.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Moore,Robbie Moore,"Moore, Robbie",Conservative,Keighley,robbie.moore.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeremy,Wright,Sir Jeremy Wright,"Wright, Sir Jeremy",Conservative,Kenilworth and Southam,Jeremy.wright.mp@parliament.uk,House of Commons,London,SW1A 0AA
Felicity,Buchan,Felicity Buchan,"Buchan, Felicity",Conservative,Kensington,felicity.buchan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Philip,Hollobone,Mr Philip Hollobone,"Hollobone, Mr Philip",Conservative,Kettering,philip.hollobone.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alan,Brown,Alan Brown,"Brown, Alan",Scottish National Party,Kilmarnock and Loudoun,alan.brown.mp@parliament.uk,House of Commons,London,SW1A 0AA
Edward,Davey,Ed Davey,"Davey, Ed",Liberal Democrat,Kingston and Surbiton,edward.davey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Karl,Turner,Karl Turner,"Turner, Karl",Labour,Kingston upon Hull East,karl.turner.mp@parliament.uk,House of Commons,London,SW1A 0AA
Diana,Johnson,Dame Diana Johnson,"Johnson, Dame Diana",Labour,Kingston upon Hull North,johnsond@parliament.uk,House of Commons,London,SW1A 0AA
Emma,Hardy,Emma Hardy,"Hardy, Emma",Labour,Kingston upon Hull West and Hessle,emma.hardy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Skidmore,Chris Skidmore,"Skidmore, Chris",Conservative,Kingswood,chris.skidmore.mp@parliament.uk,House of Commons,London,SW1A 0AA
James Neale,Hanvey,Neale Hanvey,"Hanvey, Neale",Alba Party,Kirkcaldy and Cowdenbeath,neale.hanvey.mp@parliament.uk,House of Commons,London,SW1A 0AA
George,Howarth,Sir George Howarth,"Howarth, Sir George",Labour,Knowsley,george.howarth.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeffrey,Donaldson,Sir Jeffrey M Donaldson,"Donaldson, Sir Jeffrey M",Democratic Unionist Party,Lagan Valley,jeffrey.donaldson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Angela,Crawley,Angela Crawley,"Crawley, Angela",Scottish National Party,Lanark and Hamilton East,angela.crawley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Catherine,Smith,Cat Smith,"Smith, Cat",Labour,Lancaster and Fleetwood,cat.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Hilary,Benn,Hilary Benn,"Benn, Hilary",Labour,Leeds Central,bennh@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Burgon,Richard Burgon,"Burgon, Richard",Labour,Leeds East,,House of Commons,London,SW1A 0AA
Fabian,Hamilton,Fabian Hamilton,"Hamilton, Fabian",Labour,Leeds North East,fabian.hamilton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Sobel,Alex Sobel,"Sobel, Alex",Labour,Leeds North West,alex.sobel.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rachel,Reeves,Rachel Reeves,"Reeves, Rachel",Labour,Leeds West,rachel.reeves.mp@parliament.uk,House of Commons,London,SW1A 0AA
Claudia,Webbe,Claudia Webbe,"Webbe, Claudia",Independent,Leicester East,claudia.webbe.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Ashworth,Jonathan Ashworth,"Ashworth, Jonathan",Labour,Leicester South,jon.ashworth.mp@parliament.uk,House of Commons,London,SW1A 0AA
Elizabeth,Kendall,Liz Kendall,"Kendall, Liz",Labour,Leicester West,liz.kendall.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Grundy,James Grundy,"Grundy, James",Conservative,Leigh,james.grundy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Maria,Caulfield,Maria Caulfield,"Caulfield, Maria",Conservative,Lewes,maria.caulfield.mp@parliament.uk,House of Commons,London,SW1A 0AA
Janet,Daby,Janet Daby,"Daby, Janet",Labour,Lewisham East,janet.daby.mp@parliament.uk,House of Commons,London,SW1A 0AA
Eleanor,Reeves,Ellie Reeves,"Reeves, Ellie",Labour,Lewisham West and Penge,ellie.reeves.mp@parliament.uk,House of Commons,London,SW1A 0AA
Victoria,Foxcroft,Vicky Foxcroft,"Foxcroft, Vicky",Labour,"Lewisham, Deptford",vicky.foxcroft.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Cryer,John Cryer,"Cryer, John",Labour,Leyton and Wanstead,john.cryer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Fabricant,Michael Fabricant,"Fabricant, Michael",Conservative,Lichfield,,House of Commons,London,SW1A 0AA
Karl,McCartney,Karl McCartney,"McCartney, Karl",Conservative,Lincoln,karl.mccartney.mp@parliament.uk,House of Commons,London,SW1A 0AA
Martyn,Day,Martyn Day,"Day, Martyn",Scottish National Party,Linlithgow and East Falkirk,martyn.day.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kim,Johnson,Kim Johnson,"Johnson, Kim",Labour,"Liverpool, Riverside",kim.johnson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Carden,Dan Carden,"Carden, Dan",Labour,"Liverpool, Walton",dan.carden.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paula,Barker,Paula Barker,"Barker, Paula",Labour,"Liverpool, Wavertree",paula.barker.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Byrne,Ian Byrne,"Byrne, Ian",Labour,"Liverpool, West Derby",ian.byrne.mp@parliament.uk,House of Commons,London,SW1A 0AA
Hannah,Bardell,Hannah Bardell,"Bardell, Hannah",Scottish National Party,Livingston,hannah.bardell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nia,Griffith,Dame Nia Griffith,"Griffith, Dame Nia",Labour,Llanelli,nia.griffith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jane,Hunt,Jane Hunt,"Hunt, Jane",Conservative,Loughborough,jane.hunt.mp@parliament.uk,House of Commons,London,SW1A 0AA
Victoria,Atkins,Victoria Atkins,"Atkins, Victoria",Conservative,Louth and Horncastle,,House of Commons,London,SW1A 0AA
Philip,Dunne,Philip Dunne,"Dunne, Philip",Conservative,Ludlow,philip.dunne.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Owen,Sarah Owen,"Owen, Sarah",Labour,Luton North,sarah.owen.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rachel,Hopkins,Rachel Hopkins,"Hopkins, Rachel",Labour,Luton South,rachel.hopkins.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Rutley,David Rutley,"Rutley, David",Conservative,Macclesfield,david.rutley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Theresa,May,Mrs Theresa May,"May, Mrs Theresa",Conservative,Maidenhead,mayt@parliament.uk,House of Commons,London,SW1A 0AA
Helen,Grant,Mrs Helen Grant,"Grant, Mrs Helen",Conservative,Maidstone and The Weald,helen.grant.mp@parliament.uk,House of Commons,London,SW1A 0AA
Yvonne,Fovargue,Yvonne Fovargue,"Fovargue, Yvonne",Labour,Makerfield,yvonne.fovargue.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Whittingdale,Sir John Whittingdale,"Whittingdale, Sir John",Conservative,Maldon,john.whittingdale.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lucy,Powell,Lucy Powell,"Powell, Lucy",Labour,Manchester Central,,House of Commons,London,SW1A 0AA
Mohammed,Khan,Afzal Khan,"Khan, Afzal",Labour,"Manchester, Gorton",afzal.khan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeffrey,Smith,Jeff Smith,"Smith, Jeff",Labour,"Manchester, Withington",jeff.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Benjamin,Bradley,Ben Bradley,"Bradley, Ben",Conservative,Mansfield,ben.bradley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Felicia,Drummond,Mrs Flick Drummond,"Drummond, Mrs Flick",Conservative,Meon Valley,flick.drummond.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mohammad Saqib,Bhatti,Saqib Bhatti,"Bhatti, Saqib",Conservative,Meriden,saqib.bhatti@parliament.uk,House of Commons,London,SW1A 0AA
Gerald,Jones,Gerald Jones,"Jones, Gerald",Labour,Merthyr Tydfil and Rhymney,gerald.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nadine,Dorries,Ms Nadine Dorries,"Dorries, Ms Nadine",Conservative,Mid Bedfordshire,nadine.dorries.mp@parliament.uk,House of Commons,London,SW1A 0AA
Pauline,Latham,Mrs Pauline Latham,"Latham, Mrs Pauline",Conservative,Mid Derbyshire,pauline.latham.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Tomlinson-Mynors,Michael Tomlinson,"Tomlinson, Michael",Conservative,Mid Dorset and North Poole,michael.tomlinson.mp@parliament.uk,House of Commons,London,SW1A 0AA
George,Freeman,George Freeman,"Freeman, George",Conservative,Mid Norfolk,george.freeman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Miriam,Davies,Mims Davies,"Davies, Mims",Conservative,Mid Sussex,mims.davies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Francis,Molloy,Francie Molloy,"Molloy, Francie",Sinn Féin,Mid Ulster,francie.molloy.mp@parliament.uk,House of Commons,London,SW1A 0AA
